,A1,A2,A3,B1,B2,B3,C1,C2,C3
id472,335.24,372.24,369.5,225.91,221.2,226.61,190.97,192.17,178.02
id473,5.52,5.59,5.91,5.24,4.46,4.93,12.42,12.34,13.43
id474,0,0.08,0,0,0.1,0.1,0.08,0.12,0
id475,0.77,0.29,0.22,0.06,0.97,0.73,3.25,3.11,4.41
id476,20.14,19.26,20.83,3.15,3.53,2.64,1.83,1.6,2.26
id477,21.04,19.97,23.3,29.46,27.17,28.43,30.22,32.96,29.96
id478,1.97,1.62,1.86,3.09,3.55,3.38,3.56,4.05,3.79
id479,56.54,54.54,72.23,211.5,195.62,178.4,301.34,269.78,297.54
id480,37.76,37.8,38.1,22.56,21.39,21.67,14.37,14.83,16.83
id481,0.21,0.34,0.8,0.25,0.14,0.83,0.24,0.23,0.52
id482,3.64,0.35,0.3,0.54,7.13,5.06,1.37,0.93,0.14
id483,61.06,66.56,59.28,26.72,30.31,27.23,25.86,27.95,22.31
id484,0.79,0.91,0.88,0.03,0.08,0.15,0.26,0.35,0.36
id485,0,0,0,0,0,0.13,0,0.06,0
id486,17.52,11.31,15.61,14.35,18.49,17.94,19.03,19.08,16.17
id487,272.44,254.23,277.65,149.11,145.2,138.31,105.98,109.19,98.49
id488,35.18,33.41,37.62,34.08,30.94,32.33,32.09,29.36,31.19
id489,3.67,5.24,4.9,1.66,0.96,1.47,1.1,1.37,1.43
id490,9.31,8.52,10.74,2.59,3.24,3.48,5.4,5.44,5.19
id491,47.33,54.01,49.76,23.14,25.05,24.46,12.71,16.81,12.92
id492,48.3,50.32,53.42,59.38,61.46,65.02,55.2,59.29,50.31
id493,6.85,6.47,5.76,1.98,1.99,3.26,3.8,3.87,3.73
id494,11.6,13.54,11.97,14.17,12.25,13.48,14.77,12.6,13.11
id495,8.85,8.47,8.16,5.72,5.89,6.81,6.94,5.94,6.37
id496,2.13,1.18,1.51,0.28,0.64,0.16,0.5,0.21,0.15
id497,9.22,8.22,10.44,4.08,4.25,4.48,6.25,5.58,5.5
id498,69.61,59.49,72.91,46.94,47.69,49.89,46.65,46.47,48.56
id499,7.49,7.52,8.91,6.68,5.1,5.83,8.36,9.18,6.86
id500,4.91,8.94,11.01,2.18,5.4,4.15,5.66,2.96,3.48
id501,0.24,0,0,0,0,0,0,0,0.05
id502,46.11,48.03,51.95,34.4,36.28,45.14,8.17,7.52,8.76
id503,1.58,2.06,2.36,3.51,1.99,3.17,3.43,1.75,3.04
id504,150.45,141.71,153.55,132.32,141.99,131.31,145.8,146.51,159.88
id505,2.72,2.82,3.63,9.91,8.46,8.15,9.94,11.78,11.79
id506,1.64,2.16,1.13,3.2,1.82,2.79,6.79,8.84,7.41
id507,65.09,62.8,64.06,12.05,15.41,13.66,15.3,14.43,13.08
id508,43.67,42.68,46.64,54.16,53.68,52.03,47.66,44.51,43.96
id509,12.84,12.06,12.79,6.63,6.17,7.39,11.9,10.29,10.18
id510,8.56,10.6,7.21,5.56,5.43,6.52,6.54,10.06,9.73
id511,0,0,0,0.03,0,0.08,0.13,0.08,0
id512,0,0,0.16,0,0,0.16,0,0.07,0
id513,0,0,0,0.17,0,0.43,0.15,0.14,0.31
id514,4.48,2.61,4.44,2.37,2.38,2.63,3.98,7.4,5.84
id515,0.25,0.17,0.23,0.66,0.4,1.07,1.31,1.6,1.27
id516,0.06,0.25,0.19,0.05,0.05,0.05,0.03,0.21,0.22
id517,4.2,4.18,4.1,1.82,1.29,1.84,4.29,3.64,3.92
id518,0,0,0,0,0,0,0.04,0,0
id519,157.15,154.67,173.86,52.71,53.94,54.63,84.44,66.8,85.33
id520,103.85,114.35,109.23,138.22,127.54,123.28,126.54,125.31,131.16
id521,24.63,19.17,26.7,5.08,4.17,6.95,7.44,9.17,7.68
id522,0.8,0.36,0.1,0.4,0.55,0.81,0.72,0.93,0.69
id523,1.52,2.29,1.69,0.4,0.4,0.8,0.72,2.38,1.92
id524,4.42,4.64,5.09,6.83,5.85,6.29,11.97,11.06,10.46
id525,9.5,9.34,9.63,8.12,7.35,7.38,10.42,9.51,7.8
id526,73.53,39.39,56.21,223.74,255.52,265.73,244.71,289.49,327.72
id527,0,0,0,0,0,0,0,0,0.1
id528,0.15,0.11,0.06,0.57,0.85,0.33,1.47,1.74,3.6
id529,0.09,0.1,0.11,0.08,0,0,0.1,0,0
id530,136.89,264.45,188.04,14.62,14.41,11.4,5.87,4.23,4.37
id531,8.43,8.58,9.04,6.54,5.55,7.06,8.09,7.34,7.81
id532,3.14,3.96,4.8,3.89,5.73,3.91,7.36,3.86,5.23
id533,62.42,63.21,64.11,26.42,29.41,27.17,21.64,18.78,19.63
id534,0.68,0.55,0.61,0.4,0.13,0.51,0.55,0.46,0.22
id535,4,3.46,2.53,5.1,3.77,4.26,5.35,4.68,5.54
id536,0.4,0.37,0.14,0.11,0.05,0.13,0.14,0.03,0.12
id537,20.14,18.88,17.51,8.23,9.69,11.95,3.62,4.01,4.66
id538,7.3,8.22,7.53,7.42,4.47,6.6,5.73,3.58,5.25
id539,16.51,17.01,18.24,10.53,11.11,11.33,16.2,14.37,13.64
id540,0.17,0.05,0,0,0,0,0,0.09,0.48
id541,0.12,0,0.19,0,0,0,0,0,0
id542,0.25,0.18,0.19,0.04,0,0.09,0,0.13,0.1
id543,96.2,104.14,99.19,63.1,60.44,53.94,22.66,23.59,23.46
id544,22.23,20.31,23.36,8.84,7.09,9.2,21.63,19.76,19.2
id545,50.26,55.79,47.65,21.32,19.3,21.29,25.54,20.24,22.76
id546,0.06,0.14,0.05,0.27,0.3,0.12,0.19,0.32,0.46
id547,80.01,68.6,82.58,13.6,13.83,13.88,17.08,17.02,14.15
id548,167.72,181.33,195.42,28.76,30.23,26.31,26.38,21.79,26.18
id549,30.8,30.02,34.6,5.11,4.07,5.52,6.61,8.3,7.49
id550,3.17,3.25,4.17,1.96,1.67,0.83,1.8,2.56,2.21
id551,6.58,8.19,7.2,3.51,4.19,3.43,4.91,5.45,4.64
id552,0.02,0,0,0,0,0,0,0.05,0
id553,2.99,3.85,4.11,4.58,4.86,5.56,6.08,5.28,4.94
id554,0.73,0.12,0.39,0.56,0.57,0.58,0.43,1.84,1.47
id555,2.83,3.73,4.89,6.12,7.33,7.94,5.42,4.82,5.46
id556,40.08,26.01,34.29,103.73,106.91,116.59,95.51,113.66,110.02
id557,0,0,0,1.23,2.17,0.51,0.31,1.82,1.91
id558,0,0,0,1.28,1.33,0.58,0.49,4.05,2.33
id559,0.89,0,0,4.6,6.68,3.33,2.89,11.73,11.58
id560,0.38,0,0,5.29,8.75,3.7,3.36,15.35,13.85
id561,0,0,0,0.12,0.2,0.1,0.05,0.56,0.26
id562,7.42,8.46,9.48,2.28,3.16,3.21,3.07,3.58,2.92
id563,221.5,271.64,214.77,267.55,284.3,260.01,101.59,94.93,101.18
id564,1.04,0.83,1.18,0.76,1.21,1.48,3.37,3.2,3.47
id565,2.25,1.22,2.19,1.74,1.6,1.32,2.17,2.67,2.23
id566,15.81,16.92,15.91,18.09,17.23,15.28,19.22,19.27,19.29
id567,69.46,68.53,69.26,28.44,29.61,29.3,47.63,45.57,49.63
id568,20.36,17.17,16.45,55.23,52.57,50.42,40.99,47.27,40.99
id569,96.35,103.07,101.07,45.33,50.09,49.84,29.19,30.12,31.92
id570,3.45,3.23,3.35,3.76,3.12,3.93,3.8,4.47,3.82
id571,1.1,0.92,1.38,4.07,3.95,4.6,5.47,6.2,5.64
id572,5.19,6.54,8.99,4.87,4.27,3.96,3.45,3.57,3.32
id573,36,31.56,36.97,36.51,35.18,37.94,47.5,46.49,45.85
id574,49.51,56.54,52.64,183.41,179.13,174.37,135.32,123.35,126.92
id575,1.14,1.34,1.33,1.56,2.22,2.48,0.75,1.06,0.87
id576,15.71,14.86,16.4,32.55,33.99,35.34,35.82,33.25,28.39
id577,0.36,0.14,0.07,0.21,0.27,0.36,0.22,0.27,0.18
id578,0.07,0.24,0.31,0.14,0.02,0.06,0.2,0.02,0.2
id579,0.08,0,0,0,0,0.05,0.05,0,0
id580,0,0,0,0.08,0,0,0,0.27,0
id581,0.19,0.22,0.45,0.03,0.18,0.13,0.18,0.08,0.14
id582,0.04,0.05,0.2,0,0,0.1,0,0.09,0
id583,0,0,0,0,0,0,0,0,0.1
id584,0,0,0,0,0,0,0,0.06,0
id585,1.54,1.19,1.94,3.9,3.77,3.71,3.46,8.32,3.35
id586,7.1,5.02,5.48,2.62,5.21,4.54,4.06,7.39,4.85
id587,0.47,0.87,0.77,0.94,0.86,0.98,0.4,29.4,0.67
id588,0.33,0.26,0.14,0.16,0.52,0.34,0.1,0.1,0.04
id589,0.17,2.69,5.68,0,0.1,0.26,0,0.03,0.07
id590,0.12,0.22,0.18,0.28,0.36,0.31,0.31,0,0.33
id591,0.47,0.67,0.85,0.58,0.75,0.68,0.79,0.37,0.37
id592,0,0,0,0.06,0.04,0.08,0.08,0.29,0.17
id593,53.19,64.42,58.01,61.25,59.77,59.32,42.09,34.47,35.4
id594,9.39,0.3,0.39,0.74,0.92,0.66,0.6,0.52,0.92
id595,0.27,0.27,0.29,0.56,0.48,0.75,1.55,0.71,0.77
id596,0.19,0.21,0,0.08,0.33,0.21,0.54,1.01,0.23
id597,5.5,6.4,5.41,10.45,8.54,10.19,10.34,8.9,10.54
id598,0.95,2.04,1.4,0.49,0.3,0.21,0.63,0.32,1.08
id599,69.15,71.62,69.08,18.93,17.36,16.58,9.36,7.57,6.33
id600,3.22,2.56,3.12,3.87,3.98,3.48,3.66,3.63,3.55
id601,55.82,92.02,46.76,285.44,253.57,293.65,198.19,198.81,189.19
id602,12.38,12.66,15.12,4.24,3.35,2.93,2.81,2.3,2.11
id603,47.7,43.57,50.41,60.7,56.97,61.01,64.11,56,57.13
id604,3.54,2.85,3.69,2.23,2.87,2.43,3.81,1.23,2.54
id605,0.52,0.19,0.1,0,0,0,0,0.09,0
id606,1.55,0.84,0.93,1.15,1.71,0.96,1.49,0.86,1.09
id607,0,0,0,0.02,0,0,0,0,0
id608,0,0,0,0,0,0.14,0,0,0.61
id609,0,0,0,0,0,0.08,0.08,0.14,0.28
id610,0,0,0,0.11,0,0,0,0,0
id611,0.18,0.24,0.28,0.75,0.95,0.61,0.57,0.56,0.88
id612,2.63,4.49,3.02,3.08,3.66,3.13,9.13,7.43,9.18
id613,17.06,13.92,15.71,6.75,6.36,5.89,11.95,15.2,11.84
id614,0,0,0,0,0,0,0.09,0.02,0
id615,12.48,10.33,17.53,0.85,0.95,1.45,1.8,1.53,1.18
id616,0.12,0.1,0.2,0.08,0.03,0,0.1,0.06,0.11
id617,0.23,0,0,0.42,1.78,0.93,1.62,2.4,4.25
id618,1.36,1.21,1.13,0.94,0.77,0.97,1.3,0.59,1.43
id619,1.11,0.68,1.53,1.18,1.18,1.04,0.47,0.87,1.12
id620,31.21,28.69,28.48,15.92,15.2,16.34,16.62,21.61,15.32
id621,3.25,1.67,5.83,2.28,0.31,2.3,16.32,17.06,7.99
id622,0.05,0.1,0.11,0.08,0.05,0.05,0.11,0.17,0.02
id623,68.31,58.37,69.79,77.86,75.51,73.8,102.12,86.7,100.66
id624,4.49,5.14,3.99,5.29,3.92,3.7,4.43,4.02,4.14
id625,0.23,0.45,0.18,0.02,0,0,0,0,0
id626,0,0,0,0,0,0,0,0.63,0.36
id627,0.07,0.12,0,0.07,0.04,0,0.08,0,0
id628,0,0,0,0,0.07,0,0.14,0.19,0.15
id629,0.06,0,0.13,0,0.2,0,0,0,0
id630,0,0,0,0.18,0.71,0.08,0.78,1.24,1
id631,0,0,0,0,0,0,0,0.34,0.08
id632,0,0,0,0,0,0,0,0.3,0.34
id633,0.19,0.41,0.18,0.55,0.47,0.6,1.07,0.91,0.97
id634,19.85,24.18,15.33,72.51,59.1,57.91,38.34,28.32,27.92
id635,99.6,106.61,112.16,17.93,16.2,17.59,22.73,14.77,19.14
id636,0,0,0,0.03,0,0,0.06,0.04,0.02
id637,67.05,65.99,64.6,67.27,72.63,71.08,58.32,59.49,61.85
id638,3.76,6.46,4.83,6.59,8.94,7.83,5.78,10.98,7.5
id639,0.62,0.62,0.53,0.11,0.23,0,0.16,0.11,0.12
id640,0,0,0,0.12,0,0.31,0,0,0
id641,0.27,0.78,0.38,0,0.06,0,0.12,0.12,0.2
id642,0.35,1.22,0.69,0.22,0.06,0.17,0.29,0.21,0.55
id643,0,0,0,0,0,0,0.03,0,0
id644,4.4,4.32,5.22,5.78,5.22,4.21,2.88,2.6,3.39
id645,2.32,2.76,1.89,0.73,0.5,0.88,0.67,0.92,0.95
id646,7.79,8.57,8.54,14.78,16.58,14.69,20.12,19.46,17.66
id647,202.58,229.56,233.33,53.86,59.89,58.62,73.66,73.31,67.41
id648,0,0.07,0,0,0,0,0,0.07,0
id649,1.05,0.94,0.64,14.13,23.91,17.19,22.96,34.37,45.9
id650,0,0,0,0.27,0.1,0,0,0,0.05
id651,0,0,0,0.37,0,0.48,0,0.09,0
id652,0,0,0,0.18,0.14,0.17,0.17,0.03,0.58
id653,0,0,0,0,0,0,0.1,0,0
id654,0,0,0.31,0,0,0,0,0,0
id655,2.08,3.04,2.72,4.04,5.41,4.29,5.66,8.08,5.8
id656,0.4,0.33,0.32,1.04,0.67,0.56,2.55,1.45,2.96
id657,0,0,0,0,0,0,0,0.11,0.07
id658,1.13,1.18,1.2,4.21,4.99,3.78,7.15,12.64,10.83
id659,0,0.1,0,0,0,0,0,0,0
id660,0,0,0,0,0,0.01,0,0.03,0
id661,1.37,1.26,1.15,1.26,1.46,1.2,2.9,2.72,2.99
id662,11.27,11.3,10.97,23.01,21.02,22.18,15.6,14.39,13.34
id663,77.84,78.74,73.81,72.88,80.04,80.24,118.81,179.61,161.26
id664,23.76,16.82,22.18,13.39,22.48,11.26,15.25,32.96,40.53
id665,4.9,5.38,5.34,2.9,2.89,3.1,2.71,2.94,2.88
id666,6.73,7.54,8.27,12.23,12.31,12.25,14.8,11.73,13.89
id667,15.45,16.78,15.37,15.74,16.11,14.04,17.22,13.36,17.49
id668,133.92,141.69,167.76,99.77,100.43,106.53,137.13,115.46,123.29
id669,5.89,3.75,9.22,1.81,3.69,3.16,0.54,1.05,0.72
id670,27.25,30,22.55,33.2,32.75,27.53,22.83,20.45,26.12
id671,0,0,0.08,0,0,0,0,0,0
id672,0,0,0,0.04,0,0,0,0,0
id673,0,0.05,0,0,0,0,0,0,0
id674,0.15,0.14,0.15,0,0,0,0,0.03,0.06
id675,1.65,2.17,1.6,0,0,0.03,0,0,0
id676,1.61,0.62,1.3,0.15,0.32,0.44,0.45,0.72,1.91
id677,0.54,1.31,0.94,0.24,0,0.18,0,0.06,0
id678,3.33,3.35,3.65,2.48,1.31,2.93,3.96,2.99,3.33
id679,0.52,0.09,0.18,1.03,0.92,0.9,0.87,2.08,2.06
id680,166,160.27,179.56,57.41,64.94,68.23,74.26,65.94,75.13
id681,0.07,0.03,0,0.02,0.03,0.11,0.06,0.16,0.06
id682,17.75,16.52,17.49,21,21.74,23.07,19.99,21.81,21.28
id683,14.54,10.87,15.66,14.15,11.44,12.07,22.31,15.62,16.6
id684,0.04,0.19,0,0.03,0,0.04,0.13,0.14,0.12
id685,1.43,0.26,0.21,0.54,0.38,0.73,0.64,0.55,0.91
id686,4.24,3.27,15.37,3.93,3.94,3.84,5.86,5.83,16.49
id687,0.62,0.41,4.55,0.45,0.13,0.42,0.32,0.2,5.96
id688,0.32,0.18,0.27,0.6,0.71,0.99,1.11,0.96,1.13
id689,0,0,0,0,0,0,0,0,0.03
id690,6.28,6.57,11.35,11.14,11.35,12.15,9.44,9.02,10.74
id691,0.8,0.76,0.52,1.46,1.21,1.56,1.64,1.46,1.6
id692,8.27,5.97,7.96,10.54,12.29,11.92,14.12,20.25,18.78
id693,17.15,12.66,13.7,5.05,3.85,4.4,1.58,1.3,2.47
id694,0.08,0.09,0.74,1.67,1.04,1.11,3.08,2.56,1.93
id695,0.23,0.47,0.26,0.49,0.38,0.33,0.64,0.38,0.4
id696,2.72,2.35,0.68,0.77,0.56,0.43,0.36,0.82,0.42
id697,0.44,0.33,0.26,0.17,0.15,0.32,0.36,0.32,0.14
id698,0.34,0.22,0.23,15.26,9.99,14.07,24.62,24.56,26.76
id699,0.92,1.11,0.44,0.48,0.49,0.26,0.4,0.37,0.23
id700,192.4,200.46,196.38,246.47,263.92,257.73,251.18,289.06,293.97
id701,0.63,0.2,0.42,0.56,0,0.3,0.21,0.58,0.22
id702,0.14,0.09,0.36,0.22,0.07,0.23,0.66,0.61,0.53
id703,0.03,0,0.16,0.25,0.24,0.12,0.32,0.15,0.29
id704,0.24,0.03,0.06,0,0.08,0,0.14,0.21,0.21
id705,0,0,0,0.05,0,0,0.07,0,0.07
id706,0.26,0.05,0.15,0.31,0.25,0.27,0.1,0.14,0.32
id707,0,0,0,0,0.17,0,0,0,0
id708,9.38,12.09,6.15,7.87,8.88,8,8.79,1.58,5.04
id709,0.55,0.33,0.32,0,0.03,0,0,0,0
id710,2.56,3.12,2.31,3.72,3.07,3.46,3.68,4.12,4.61
id711,0,0,0,0.1,0.07,0,0,0.3,0.14
id712,7.65,1.4,22.4,0.69,0.62,0.99,1.51,0.89,13.45
id713,0.55,0.66,1.01,0.89,1.11,1.08,1.66,1.55,1.11
id714,0.04,0.31,0.25,0.1,0,0.01,0.09,0.03,0.21
id715,0.17,0.23,0.16,0.03,0.16,0.08,0.04,0.25,0.17
id716,0.07,0.31,0,0,0.32,0.04,0,0.04,0.09
id717,18.81,15.21,14.47,35.95,30.68,35.41,41.14,50.13,52.58
id718,0.03,0.23,0,0,0,0,0,0.11,0
id719,0.49,0.24,0.28,0.16,0.23,0.17,0.16,0.13,0.13
id720,0.11,0.15,0.21,0,0.05,0.05,0.08,0.14,0.19
id721,0.12,0.11,0.09,0.03,0.11,0.13,0.2,0.19,3.79
id722,0,0,0,0,0.06,0,0,0.11,0
id723,0.25,0,0.39,0.3,0,0.19,0.39,0.37,0.21
id724,0.05,0,0.09,0,0,0,0.03,0,0.1
id725,0.05,0.05,0,0,0.05,0,0,0,0
id726,0.49,0,0.07,0,0,0,0.07,0.2,0.15
id727,0.05,0,0,0,0,0,0,0,0
id728,0,0,0,0,0,0,0.02,0.02,0
id729,0,0,0,0,0,0,0.02,0,0
id730,0,0,0,0.04,0,0,0,0.04,0
id731,0.29,0.09,0.19,0.11,0.15,0.85,1.88,3.06,2.97
id732,0.68,1.24,1.24,0.06,0,0.03,0.05,0,0
id733,4.05,4.56,5.08,3.42,3.31,3.79,5.36,4.6,4.56
id734,0.71,0.82,0.83,1.6,1.28,1.65,1.89,1.97,1.62
id735,0,0,0,0,0,0,0.05,0.09,0
id736,6.1,8.05,6.76,4.45,3.92,4.5,4.33,3.84,3.81
id737,0.07,0.02,0.09,0.1,0,0,0,0.1,0
id738,0.62,0.51,0.38,0.7,0.57,0.7,0.87,1.16,1.08
id739,2.17,1.07,1.76,0.39,0.3,0.36,1.4,2.12,1.45
id740,13.62,8.76,14.81,0.29,0.7,0.31,1.39,2.84,2.43
id741,0,0,0,0,0,0,0,0.08,0
id742,1.82,0.16,0.05,0.54,1.9,0.58,3.28,1.41,3.43
id743,0.07,0.08,0.17,0.3,0,0.08,0,0.04,0
id744,0.17,0.09,0.15,0.15,0.39,0.19,0.73,0.77,0.93
id745,0,0,0,0.05,0,0,0.06,0.46,0
id746,0,0.05,0.08,0.92,0.6,1.12,0.31,0,0.58
id747,0.57,0.96,1,0,0.67,0.16,0.5,0.31,1.41
id748,0.28,0.44,0.52,1.25,0.82,2.9,1.03,2.69,0.89
id749,0,0,0,0.02,0.09,0.06,0.03,0,0.19
id750,0.17,0.19,1.39,5.34,1.79,2.13,3.34,2.39,2.51
id751,0,0,0,0,0,0,0,0.08,0.05
id752,0.38,6.65,0.39,4.87,0.36,6.32,9.06,0.41,0.41
id753,27.6,24.24,28.39,50.2,48.75,45.49,39.32,43.68,41.24
id754,0.02,0.21,0.02,0,0.04,0.02,0.04,0.04,0.05
id755,0.4,0.17,0.37,0.78,0.57,0.66,1.51,0.94,0.56
id756,0.56,0.11,0.58,0.33,1,0.3,0.23,0.32,0.37
id757,5.09,5.18,5.32,7.39,6.43,9.92,8.64,8.67,14.88
id758,0,0,0,0,0,0.1,0.03,0,0.03
id759,1.63,0.79,1.04,1.83,1.34,2.32,2.95,1.96,3.46
id760,0.6,0.53,0.86,0.49,0.17,0.43,1.16,0.41,0.56
id761,8.95,14.07,13.88,2.16,1.87,1.14,2.96,2.87,4.01
id762,0,0.06,0.24,0.19,0.12,0.95,1.02,0.22,0.96
id763,0,0,0,0,0.02,0.07,0,0,0
id764,5.07,6.03,5.45,10.03,8.62,8.5,10.99,10.5,10.59
id765,0.66,0.66,0.89,1.72,2.39,1.7,1.86,2.11,1.69
id766,4.99,4,5.61,1.1,1.34,1.34,2.2,2.96,1.48
id767,0.31,0.2,0.21,0.04,0.05,0.05,0.05,0.05,0.05
id768,9.05,8.76,6.5,4.74,2.52,4.4,4.33,4.36,4.33
id769,1.85,1.05,0.98,1.84,2.56,2.14,1.53,1.58,1.67
id770,0.28,0.08,0.08,0.16,0.49,0.12,0.4,0.3,0.17
id771,0.12,0,0,0,0,0.14,0,0,0.07
id772,8.35,8.75,8.02,0.76,1.12,0.99,1.5,1.43,0.9
id773,0.14,0.23,0,0,0.08,0,0.08,0.15,0
id774,15.09,14.41,14.88,2.48,3.76,3.3,2.68,3.21,2.14
id775,0.18,0.16,0.26,0.03,0,0.04,0.04,0.04,0
id776,4.07,4.5,5.46,4.39,4.02,3.89,5.82,6.35,5.86
id777,0.29,0.14,0.3,0.2,0.15,0.25,0.15,0.1,0.39
id778,3.71,3.64,3.94,4.61,4.44,4.51,4.42,3.4,3.25
id779,0.13,0.09,0.13,0.22,0.09,0.18,0.12,0.38,0.13
id780,10.68,11.02,11.95,10.18,12.5,12.63,8.95,11.06,12.53
id781,6.49,6.49,8.81,2.83,2.47,2.29,4.11,3.38,3.03
id782,44.2,42.15,43.05,81.04,80.25,81.74,77.36,76.86,73.4
id783,52.07,50.01,48.79,47.03,42.01,39.26,25.05,29.82,30.17
id784,0.36,0.4,0.35,0.08,0.04,0,0,0,0.07
id785,1.65,1.33,1.81,3.74,3.35,3.38,1.24,2.28,2.53
id786,2.2,1.54,1.91,6.28,6.26,5.36,7.09,8.23,6.29
id787,13.9,13.22,13.65,3.62,3.28,3.51,4.25,4.75,5.36
id788,3.11,2.78,2.79,1.07,1.47,1.29,1.53,1.05,1.43
id789,0,0,0,0,0,0,0.04,0,0
id790,6.18,6.85,7.08,10.31,11.63,11.87,14.79,13.71,14.37
id791,0.82,0.2,0,0.49,0.11,0.1,0.31,0,0.45
id792,3.79,4.71,4.37,8.07,8.23,9.28,8.37,8.8,6.29
id793,0.71,1,0.6,0.63,0.3,0.51,0.22,0.42,0.32
id794,0,0,0,0.05,0.03,0,0.06,0.26,0
id795,0,0,0,0.02,0.06,0.02,0.7,0.35,0.4
id796,0,0,0,0,0,0,0,0.02,0.02
id797,14.4,10.71,12.91,1.38,2.06,0.95,0.45,0.56,0.67
id798,12.89,10.84,11.85,47.15,71.37,65.82,82.7,84.63,84.72
id799,56.9,50.21,55.18,9.91,11.66,11.15,4.26,5.01,2.94
id800,1.79,1,1.57,4.13,3.36,4.68,13.05,14.22,10.08
id801,0.03,0.02,0,0.29,0.32,0.43,1.42,1.65,1.98
id802,0,0,0,0.15,0.19,0.19,0.45,0,0
id803,0,0,0,0,0.1,0,0,0,0
id804,4.46,6.18,5.66,0.44,0.14,0.21,0.5,0.33,0.23
id805,14.46,12.01,16.89,0.67,0.92,0.89,2,1.19,1.69
id806,0.05,0.02,0,0.01,0.04,0.04,0.08,0.16,0.08
id807,5.67,5.43,6,9.59,8.45,8.17,11.99,13.78,15.18
id808,0.24,0.42,0.28,0.68,0.83,0.54,0.88,0.97,1.05
id809,8.8,7.76,8.43,4.74,3.68,4.1,8.17,9.08,7.61
id810,31.51,26.85,27.67,13.7,13.98,13.69,17.79,17.95,18.63
id811,5.82,6.16,6.59,1.86,2.57,2.36,2.24,1.84,2.02
id812,0.9,0.33,1.13,0.07,0.7,0.25,2.41,0.64,0.64
id813,16.55,13.94,15.31,9.29,9.66,8.21,8.16,8.79,7.63
id814,0.06,0.06,0.07,0,0.07,0,0,0,0
id815,15.23,4.32,21.66,17.87,8.42,33.53,78.39,23.02,34.72
id816,6.42,6.04,6.53,0.86,1.43,1.19,1.21,1.87,1.96
id817,0,0,0,0,0,0.07,0.11,0.2,0.19
id818,0.71,0.6,0.67,0.24,0.39,0.31,1.72,2.17,2.43
id819,0.48,0.71,0.74,0.19,0.18,0.07,0.28,0.39,0.56
id820,0.03,0.21,0.18,0.31,0.33,0.32,0.58,0.68,0.54
id821,0.62,0.37,0.73,0.89,0.82,1.04,1.53,1.39,0.87
id822,0,0,0,0,0.07,0.07,0,0.03,0.04
id823,2.52,2.53,1.83,0.08,0,0,0.03,0.09,0.21
id824,0.03,0,0,0.45,0.43,0.67,0.46,0.72,0.59
id825,0.05,0,0,2.26,4.07,2.47,16.58,13.16,18.35
id826,14.87,15.01,17.03,6.47,8.32,5.86,7.86,6.81,7.25
id827,0,0,0,0,0,0,0.07,0.07,0
id828,11.54,14.96,11.61,25.34,25.92,29.28,27.67,29.86,25.03
id829,0.64,0.16,0.17,0,0,0,0,0,0
id830,5.18,5.15,5.93,1.54,1.27,1.35,0.72,0.98,1
id831,31.86,26.91,28.4,50.38,47.1,48.05,52.43,54.58,47
id832,0.07,0.07,0.42,0.65,1.04,1.57,0.49,1.14,2.23
id833,13.75,10.62,16.3,2.25,2.57,1.89,3.28,5.51,2.86
id834,4.28,1.01,3.76,2.84,1.99,1.43,1.45,3.15,2.29
id835,35.66,60.51,50.32,18.3,22.2,21.33,23.59,18.24,31.35
id836,0.74,0.99,0.86,0.73,0.06,0.17,0.44,0.38,0.44
id837,0.1,0.32,0.11,0.03,0,0.04,0.19,0.07,0.2
id838,14.3,18.48,16.6,12.22,15.2,13.99,13.29,8.96,10.55
id839,9.71,15.65,10.29,3.29,2.75,2.89,5.87,7.11,5.68
id840,0,0,0,0.07,0.28,0.12,0.21,0.28,0.19
id841,1.11,0.3,0.4,0.1,0.31,0.44,2.97,2.49,2.41
id842,32.13,35.31,39.66,15.72,12.64,16.92,9.36,7.97,11.42
id843,53.26,58.47,56.48,105.62,96.73,102.62,131.33,135.13,122.04
id844,0,0.08,0,0,0,0,0,0,0
id845,0,0,0,0.02,0,0,0,0,0
id846,178.44,139.77,140.02,33.26,38.17,71.87,42.21,42.88,53.66
id847,0,0,0.12,0,0,0,0,0,0.12
id848,2.21,1.23,1.17,6.06,5.38,4.85,4.23,4.17,3.82
id849,1.36,2.14,2.03,0.1,0.03,0.03,0.18,0.29,0.16
id850,26.68,25.23,20.83,10.73,11.63,10.21,15.17,17.01,16.54
id851,47.16,48.97,55.88,97.2,100.46,98.8,118.09,108.01,120.57
id852,2.64,3.03,2.97,0.89,0.75,1.16,1.78,1.99,1.49
id853,176.85,10.12,10.04,1.34,11.64,2.22,38.43,31.59,2.12
id854,0.55,0.85,1.12,0.86,0,0,0.4,0.52,0.25
id855,0,0,0.08,0.02,0.05,0.02,0.03,0,0.03
id856,2.03,0.89,1.29,1.87,1.43,1.54,1.49,1.2,1.59
id857,12.93,16.65,14.99,8.43,10.9,7.47,7.12,6.87,8.64
id858,12.22,12.81,11.5,21.28,24.39,22.45,20.81,20.05,20.57
id859,2.09,2.77,2.58,7,8.83,9.14,5.92,5.96,6.89
id860,0.14,0.69,0.12,0.15,0.2,0.12,0.04,2.55,0.29
id861,0.46,0.23,0.36,0.59,0.53,0.64,0.47,0.71,0.38
id862,0,0,0,0.09,0,0,0.12,0,0
