,A1,A2,A3,B1,B2,B3,C1,C2,C3
id2853,18.34,18.53,19.57,33.81,34.6,30.62,41.3,36.41,34.57
id2854,0,0,0,0,0,0,0.07,0,0
id2855,0,0,0,0,0,0,0,0.1,0
id2856,0.25,0.21,0.58,0.33,1.09,0.5,0.72,1.01,1.15
id2857,0.37,0.65,0.6,0.49,0.36,0.59,0.74,0.59,1.39
id2858,0.86,0.86,0.52,1.26,1.49,2.55,3.1,3.38,2.59
id2859,22.4,21.14,22.89,50.61,43.6,43.53,42.39,41.26,44.85
id2860,23.78,25.21,22.53,3.34,3.55,3.43,5.63,3.88,5.63
id2861,0.03,0,0,0,0,0,0,0,0
id2862,1.26,2.34,0.49,1.58,0.88,0.48,0.78,1.09,1.55
id2863,24.58,28.33,31.01,7.71,7.44,6.54,8.38,7.44,6.56
id2864,0.77,0.57,0.75,0.11,0.6,0,1.33,0.28,0.63
id2865,0,0,0.4,0.1,0,0.13,0.93,0,0.28
id2866,0.73,0.82,0.55,0.19,0.18,0.54,0.18,0.06,0.19
id2867,0,0.01,0,0,0,0.01,0,0,0
id2868,0.08,0.07,0.2,0.36,0.47,0.55,1.39,0.5,0.77
id2869,0,0.03,0.03,0.23,0.07,0.16,0.17,0.22,0.28
id2870,0.05,0,0,0,0,0,0,0,0
id2871,0.48,0.54,0.56,0,0.16,0,0.08,0,0.51
id2872,0.42,0.55,0.4,0.16,0,0.06,0.06,0.03,0.06
id2873,0.35,0.11,3.63,2.73,0.67,4.44,0.55,6.41,0.7
id2874,14.79,14.52,15.33,9.03,8.09,9.17,11.28,12.64,10.62
id2875,0,0,0,0,0,0,0.06,0,0.06
id2876,0.05,0.24,0.09,0.07,0.16,0.06,0.03,0.49,0.36
id2877,3.99,3.17,3.51,4.34,4.65,5.15,6.52,13.49,9.88
id2878,0,0,0.07,0,0,0,0,0,0
id2879,0,0,0,0,0,0,0,0.03,0
id2880,0.03,0,0.03,0,0,0,0.24,0.09,0.14
id2881,446,412.86,435.83,170.27,178.76,169.6,214.61,203.4,227.32
id2882,9.78,7,9.81,17.83,14.62,14.81,13.28,9.48,11.5
id2883,0,0,0,0,0,0,0.03,0,0.03
id2884,0.13,0,0.04,0.32,0.02,0,0.06,0,0
id2885,0,0,0,0.15,0,0.97,0,0.09,0
id2886,0,0,0.12,0,0.12,0,0,0,0.12
id2887,0,0,0,0,0,0,0,0,0.27
id2888,1.2,1.47,0.79,0.61,0.37,0.09,0.6,0.17,0.25
id2889,0.1,0.07,0.19,0,0,0,0.08,0,0
id2890,0,0,0,0.04,0,0,0,0,0
id2891,1.93,0.73,1.08,1.08,1.17,0.97,1.23,1.17,0.86
id2892,0.08,0,0.09,0,0,0,0,0,0
id2893,3.81,5.32,6.54,3.03,1.97,1.32,0.24,2.4,2.21
id2894,6.41,3.13,2.73,1.42,2.6,2.01,1,2.25,3.63
id2895,30.14,27.95,26.15,43.07,45.58,41.02,38.27,35.13,33.87
id2896,0.02,0,0.05,0,0,0,0,0.02,0.03
id2897,3.89,2.69,3.21,1.67,1.09,0.78,0.34,0.74,0.73
id2898,1.7,2.22,1.2,1.33,1.59,1.5,3.18,2.3,2.12
id2899,0.07,0.05,0.08,0,0.03,0,0,0,0
id2900,1.36,2.55,8.26,1.5,1.19,0.89,0.39,0.29,0.36
id2901,6889.85,6176.94,7332.44,2313.58,2764.99,2467.41,834.35,990.29,912.89
id2902,0,0,0,0,0,0.02,0,0,0
id2903,0.03,0.09,0.05,0.03,0,0.08,0.67,0.05,0.04
id2904,0.57,0.54,0,1.46,2.56,1.39,2.16,4.13,3.2
id2905,0.04,0.03,0.01,0.01,0,0,0.05,0.02,0.02
id2906,3.99,4.17,3.45,0.11,0.05,0.09,0.28,0.22,0.1
id2907,24.68,28.43,27.61,16.53,14.08,16.14,20.37,20.47,21.86
id2908,20.71,20.06,19.55,24.88,22.77,18.88,23.25,19.87,18.17
id2909,0,0,0,0,0,0,0,0.3,0
id2910,0.39,0.37,0.13,0.15,0.51,0,0.57,0.83,0.95
id2911,0.07,0.02,0.06,0,0.06,0.11,0.11,0.14,0.09
id2912,4.93,15.79,0.58,0,1.08,0.49,2.31,2.85,1.14
id2913,0,0,0,0.02,0,0,0,0,0
id2914,10.37,10.49,9.03,9.88,8.33,10.05,12.98,15.82,13.13
id2915,0,0.06,0.2,0.36,0,0.2,0.13,0,0.21
id2916,12.36,13.48,14.6,5.39,4.94,5.25,6.07,6.65,4.98
id2917,7.62,9.62,9.8,0.9,1,0.74,1.41,1.05,1.37
id2918,0.48,0.19,0.03,0.23,0.03,0,0.28,0.35,0.03
id2919,0.56,0.65,0.86,0.44,0.79,0.69,0.38,0.52,0.11
id2920,0.07,0.22,0.39,0.18,0.55,0.46,0.16,0.15,0.58
id2921,2.51,4.19,2.49,1.68,1.92,1.45,1.77,1.47,1.35
id2922,0.03,0.06,0.02,0.01,0.02,0.04,0.02,0,0
id2923,0.33,0,0,0,0,0,0,0,0
id2924,0.18,0.06,0.54,0.72,1.21,0.29,0.72,1.79,1.02
id2925,0,0.06,0.06,0.09,0.24,0.17,0.18,0.44,0.31
id2926,0,0.12,0,0,0,0,0,0,0
id2927,0,0,0,0.22,0.45,0.48,0.37,0.61,0.48
id2928,0.02,0,0,0,0,0,0.02,0,0
id2929,0,0.05,0.26,0.08,0,0.35,0.26,0.05,0.05
id2930,0,0,0,0,0,0.08,0,0,0
id2931,6.36,6.87,5.47,5.76,4.7,4.13,8.65,6.08,6.92
id2932,4.83,5.1,3.23,5.52,4.37,3.68,10.91,10.09,7.26
id2933,0.09,0.26,0.05,0,0.11,0,0.22,0.3,0.06
id2934,8.17,8.42,8.58,18.3,20.86,19.3,19.79,20.28,18.87
id2935,0,0,0,0.14,0,0,0,0,0.19
id2936,28.41,28.68,29.97,26.89,26.31,27.16,30.14,28.49,24.93
id2937,0.03,0.04,0,0.1,0.08,0.02,0,0.18,0.02
id2938,7.7,6.47,8.27,2.46,2.62,1.76,6.58,5.5,6.21
id2939,0.03,0.19,0.04,0,0.08,0.12,0,0.11,0
id2940,26.23,24.87,28.27,16.9,14.66,15.5,22.12,20.33,20.89
id2941,0,0.04,0,0,0,0,0,0,0
id2942,12.98,16.8,14.42,4,3.47,4.24,9.98,7.4,8.43
id2943,31.24,21.67,26.87,8.82,11.71,13.3,6.31,20.62,23.34
id2944,26.89,27.1,30.02,4.95,4.63,5.7,7.18,7,7.97
id2945,0,0,0,0,0,0,0.19,0,0.21
id2946,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
id2947,3.45,4.29,1.78,8.07,10.82,9.13,7.73,6.94,4.73
id2948,85.39,81.59,72.7,66.1,76.97,72.19,53.36,53.45,54.59
id2949,11.81,10.96,9.04,17.97,10.74,15.58,13.13,12.46,13.55
id2950,32.95,28.99,34.85,34.58,34.33,30.64,42.65,42.5,47.7
id2951,0.28,0.02,0.22,0.06,0.05,0,0.05,0,0.05
id2952,0.29,0.4,0.42,0.39,0.78,0.54,0.58,0.23,0.72
id2953,2.03,2.27,8.28,0.79,1.81,2.23,5.31,0.91,0.92
id2954,0.16,0.45,0.05,0.18,0.14,0,0.23,0.74,0.64
id2955,5.05,4.34,3.59,0.68,0.52,0.3,0.52,0.39,0.27
id2956,46.88,51.48,48.98,58.67,60.53,61.89,30.65,34.74,29.62
id2957,0.38,0,0,0.07,0.09,0.17,0.09,0.17,0
id2958,0.95,1.1,1.75,1.13,1.96,1.84,3.21,3.52,3.5
id2959,0.03,0,0.03,0,0,0,0,0,0
id2960,0,0.06,0,0,0,0,0,0,0
id2961,0,0,0,0,0.05,0.02,0,0,0
id2962,6.3,6.83,7.59,0.52,0.55,0.66,1,0.89,1.37
id2963,5.3,5.1,4.74,4.4,3.2,3.72,12.12,8.96,8.74
id2964,0.11,0.04,0.13,0,0.04,0.04,0,0.08,0.14
id2965,0,0.04,0.14,0.07,0.05,0,0,0.09,0
id2966,0.09,0,0,0,0,0,0,0,0.11
id2967,10.34,9.14,9.51,9.06,11.95,8.71,16.83,12.78,19.73
id2968,1.93,3.31,2.06,1.9,1.5,1.87,1.2,0.82,0.94
id2969,9.79,8.52,8.41,9.06,9.89,10.38,8.26,6.97,6.82
id2970,0.11,0.03,0.02,0.06,0,0,0.14,0.03,0.02
id2971,0.02,0.05,0,0,0,0,0,0,0
id2972,23.87,19.58,25.95,7.02,5.55,6.9,4.67,3.73,4.91
id2973,1.6,1.58,1.92,1.14,2.69,2.09,1.8,1.63,1.1
id2974,2.93,3.26,2.6,4.02,4.02,5.36,4.98,5.56,5.29
id2975,0.26,0.24,0.19,0.09,0.06,0.3,0.19,0.12,0.06
id2976,0.28,0.52,0.48,0.14,0.18,0.09,0.03,0.08,0.06
id2977,2.01,1.49,1.37,1.5,0.78,0.19,1.16,1.08,1.65
id2978,1.71,2.5,2.37,1.94,1.61,2.43,5.06,3.85,3.4
id2979,3.34,2.94,3.94,1.65,1.28,1.07,1,0.85,0.58
id2980,0,0.09,0.32,0,0,0,0,0,0
id2981,20.17,19.43,16.19,5.07,4.44,4.7,4.93,5.71,5.14
id2982,0.14,0,0.04,0,0.04,0,0.08,0,0
id2983,0.69,0.51,0.2,0.31,0.2,0.46,0.33,0.43,0.84
id2984,0.11,0.1,0.23,0.1,0,0.03,0.1,0,0
id2985,0.04,0,0,0,0,0,0.1,0.05,0
id2986,4.13,3.79,5.87,0.71,1.06,0.41,2.59,1.7,1.87
id2987,0,0.01,0.01,0,0,0,0,0,0.02
id2988,78.45,77.59,84.86,97.16,100.65,98.01,90.97,92.81,91.5
id2989,0.35,0.13,0.25,0.15,0.19,0.16,0.41,0.58,0.2
id2990,0.05,0.03,0,0.04,0,0.03,0.08,0.08,0
id2991,33.16,28.03,30.51,18.05,21.99,18.48,35.73,46.5,42.74
id2992,0.02,0,0,0,0,0,0,0,0
id2993,0.14,0.11,0.11,0.28,0.11,0.19,0.11,0.05,0.09
id2994,0,0,0,0.21,0.03,0.07,0.07,0.03,0.07
id2995,32.98,28.39,31.9,8.58,7.36,8.21,6.41,6.91,7.49
id2996,12.69,11.94,11.97,11.59,9.85,12.08,26.8,24.22,27.05
id2997,0.54,0.75,0.78,0.34,0.52,0.73,0.26,0.24,0.43
id2998,103.08,117.87,90.89,129.39,128.17,110.23,97.83,78.73,77.19
id2999,0,0,0,0,0,0,0,0.13,0
